 --------------
    27.86330     5.28947  -0.00000    1    0      0.479630E+00   -0.358736E+00     0.35874
    27.86330     5.28947  -0.00000    1    1     -0.408578E+00   -0.788209E+00     0.78821
    27.86330     5.28947  -0.00000    1    2      0.295640E+00   -0.967669E-01     0.09677
    27.86330     5.28947  -0.00000    1    3     -0.432188E+00   -0.751423E+00     0.75142
    27.86330     5.28947  -0.00000    1    4      0.265100E+00   -0.923937E+00     0.92394
    27.86330     5.28947  -0.00000    1    5      0.492886E+00   -0.584042E+00     0.58404
    27.86330     5.28947  -0.00000    1    6      0.472345E+00   -0.336017E+00     0.33602
    27.86330     5.28947  -0.00000    1    7      0.405449E+00   -0.207406E+00     0.20741
    27.86330     5.28947  -0.00000    1    8      0.331141E+00   -0.125373E+00     0.12537
    27.86330     5.28947  -0.00000    1    9      0.275107E+00   -0.824882E-01     0.08249
    27.86330     5.28947  -0.00000    1   10      0.231782E+00   -0.569682E-01     0.05697
    27.86330     5.28947  -0.00000    1   11      0.183973E+00   -0.350763E-01     0.03508
    27.86330     5.28947  -0.00000    1   12      0.150493E+00   -0.231856E-01     0.02319
    27.86330     5.28947  -0.00000    1   13      0.131450E+00   -0.175886E-01     0.01759
    27.86330     5.28947  -0.00000    1   14      0.105898E+00   -0.113430E-01     0.01134
    27.86330     5.28947  -0.00000    1   15      0.698301E-01   -0.490025E-02     0.00490
    27.86330     5.28947  -0.00000    1   16      0.366232E-01   -0.134306E-02     0.00134
    27.86330     5.28947  -0.00000    1   17      0.155803E-01   -0.242806E-03     0.00024
    27.86330     5.28947  -0.00000    1   18      0.552851E-02   -0.305654E-04     0.00003
    27.86330     5.28947  -0.00000    1   19      0.167146E-02   -0.279378E-05     0.00000
    27.86330     5.28947  -0.00000    1   20      0.437110E-03   -0.191065E-06     0.00000
    27.86330     5.28947  -0.00000    2    0      0.470610E+00   -0.331102E+00     0.33110
    27.86330     5.28947  -0.00000    2    1     -0.385617E+00   -0.818276E+00     0.81828
    27.86330     5.28947  -0.00000    2    2      0.259735E+00   -0.727557E-01     0.07276
    27.86330     5.28947  -0.00000    2    3     -0.427557E+00   -0.759219E+00     0.75922
    27.86330     5.28947  -0.00000    2    4      0.251173E+00   -0.932333E+00     0.93233
