      9.9957   -0.0000      0.284745E+00     -0.890012E-01      0.302943E+00
      9.9957   -0.0000      0.241028E+00     -0.619297E-01      0.251500E+00
      9.9957   -0.0000      0.191772E+00     -0.382385E-01      0.196815E+00
      9.9957   -0.0000      0.157116E+00     -0.253270E-01      0.159824E+00
      9.9957   -0.0000      0.137976E+00     -0.194142E-01      0.139790E+00
      9.9957   -0.0000      0.111957E+00     -0.126956E-01      0.112915E+00
      9.9957   -0.0000      0.742569E-01     -0.554483E-02      0.745326E-01
      9.9957   -0.0000      0.390730E-01     -0.152903E-02      0.391128E-01
      9.9957   -0.0000      0.166470E-01     -0.277201E-03      0.166501E-01
      9.9957   -0.0000      0.591128E-02     -0.349444E-04      0.591141E-02
      9.9957   -0.0000      0.178808E-02     -0.319725E-05      0.178809E-02
      9.9957   -0.0000      0.467820E-03     -0.218856E-06      0.467820E-03
--------------------  ATOM   5  --->  Z = 
      9.9957   -0.0000      0.485382E+00     -0.379983E+00      0.664198E+00
      9.9957   -0.0000     -0.403381E+00     -0.795439E+00      0.204012E+01
      9.9957   -0.0000      0.270206E+00     -0.792998E-01      0.285463E+00
      9.9957   -0.0000     -0.430949E+00     -0.753541E+00      0.209030E+01
      9.9957   -0.0000      0.247105E+00     -0.934671E+00      0.131233E+01
      9.9957   -0.0000      0.488335E+00     -0.607372E+00      0.893613E+00
      9.9957   -0.0000      0.478478E+00     -0.354884E+00      0.638164E+00
      9.9957   -0.0000      0.415232E+00     -0.221464E+00      0.489970E+00
      9.9957   -0.0000      0.341423E+00     -0.134718E+00      0.375825E+00
      9.9957   -0.0000      0.284769E+00     -0.890174E-01      0.302972E+00
      9.9957   -0.0000      0.241049E+00     -0.619414E-01      0.251524E+00
      9.9957   -0.0000      0.191784E+00     -0.382437E-01      0.196828E+00
      9.9957   -0.0000      0.157136E+00     -0.253335E-01      0.159845E+00
      9.9957   -0.0000      0.138007E+00     -0.194231E-01      0.139822E+00
      9.9957   -0.0000      0.111989E+00     -0.127029E-01      0.112947E+00
      9.9957   -0.0000      0.742787E-01     -0.554811E-02      0.745547E-01
      9.9957   -0.0000      0.390839E-01     -0.152989E-02      0.391238E-01
      9.9957   -0.0000      0.166513E-01     -0.277343E-03      0.166544E-01
      9.9957   -0.0000      0.591266E-02     -0.349607E-04      0.591279E-02
      9.9957   -0.0000      0.178846E-02     -0.319861E-05      0.178847E-02
      9.9957   -0.0000      0.467912E-03     -0.218942E-06      0.467913E-03
--------------------  ATOM   6  --->  Z = 
      9.9957   -0.0000      0.485089E+00     -0.378804E+00      0.662983E+00
      9.9957   -0.0000     -0.402650E+00     -0.796434E+00      0.203889E+01
      9.9957   -0.0000      0.269143E+00     -0.786190E-01      0.284201E+00
      9.9957   -0.0000     -0.430313E+00     -0.754619E+00      0.208904E+01
      9.9957   -0.0000      0.247980E+00     -0.934173E+00      0.131133E+01
      9.9957   -0.0000      0.488626E+00     -0.606041E+00      0.892251E+00
      9.9957   -0.0000      0.478167E+00     -0.353861E+00      0.637094E+00
      9.9957   -0.0000      0.414445E+00     -0.220294E+00      0.488560E+00
      9.9957   -0.0000      0.340519E+00     -0.133876E+00      0.374589E+00
      9.9957   -0.0000      0.283651E+00     -0.882450E-01      0.301613E+00
      9.9957   -0.0000      0.239546E+00     -0.611178E-01      0.249810E+00
      9.9957   -0.0000      0.190423E+00     -0.376809E-01      0.195356E+00
      9.9957   -0.0000      0.155779E+00     -0.248864E-01      0.158416E+00
      9.9957   -0.0000      0.136177E+00     -0.189015E-01      0.137920E+00
      9.9957   -0.0000      0.109906E+00     -0.122289E-01      0.110811E+00
      9.9957   -0.0000      0.725858E-01     -0.529675E-02      0.728432E-01
      9.9957   -0.0000      0.380905E-01     -0.145300E-02      0.381274E-01
      9.9957   -0.0000      0.162032E-01     -0.262612E-03      0.162060E-01
      9.9957   -0.0000      0.574804E-02     -0.330410E-04      0.574816E-02
      9.9957   -0.0000      0.173745E-02     -0.301875E-05      0.173746E-02
      9.9957   -0.0000      0.454307E-03     -0.206395E-06      0.454307E-03
