!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!                                                                     !
!          data file        :         put/spec.dat                    !
!          t-matrix file    :    output/tmatrix.tl                    !
!          rad integral file:    utput/tmatrix.rad                    !
!          cluster file     :     tput/cluster.clu                    !
!                                                                     !
!                                                                     !
!          spectroscopy     :      PHD        algorithm : SE          !
!               NO = 2  NDIF =  5  IFWD = 0  IPW = 0  ILENGTH = 0     !
!          inner potential  :      0.00 eV                            !
!                                                                     !
!          initial state    : 2p     selection rules: INITL =  2      !
!                                                                     !
!          incoming beam    :                                         !
!          THETA_LUM:    55.15  PHI_LUM:   -44.70  E_LUM:  1486.60 eV !
!                                                                     !
!          outgoing beam    :                                         !
!          THETA_INI:   -80.00      THETA_FIN:    79.50               !
!          PHI_INI  :     0.00      PHI_FIN  :     0.00               !
!          E_INI    :   379.10 eV   E_FIN    :   379.10 eV            !
!                                                                     !
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

  PHD           CROSS-SECTION
  0  0  0  0  0  0  1  0
   1   320     1    7  0
   -1  -76.00    0.00    379.10  0.273915E-04  0.353692E-03
    1  -75.50    0.00    379.10  0.000000E+00  0.000000E+00
    2  -75.50    0.00    379.10  0.000000E+00  0.000000E+00
    3  -75.50    0.00    379.10  0.000000E+00  0.000000E+00
    4  -75.50    0.00    379.10  0.000000E+00  0.000000E+00
    5  -75.50    0.00    379.10  0.000000E+00  0.000000E+00
    6  -75.50    0.00    379.10  0.000000E+00  0.000000E+00
    7  -75.50    0.00    379.10  0.362488E-04  0.601330E-03
    0  -75.50    0.00    379.10  0.362488E-04  0.601330E-03
   -1  -75.50    0.00    379.10  0.362488E-04  0.601330E-03
    1  -75.00    0.00    379.10  0.000000E+00  0.000000E+00
    2  -75.00    0.00    379.10  0.000000E+00  0.000000E+00
    3  -75.00    0.00    379.10  0.000000E+00  0.000000E+00
    4  -75.00    0.00    379.10  0.000000E+00  0.000000E+00
    5  -75.00    0.00    379.10  0.000000E+00  0.000000E+00
    6  -75.00    0.00    379.10  0.000000E+00  0.000000E+00
    7  -75.00    0.00    379.10  0.470729E-04  0.574552E-03
    0  -75.00    0.00    379.10  0.470729E-04  0.574552E-03
   -1  -75.00    0.00    379.10  0.470729E-04  0.574552E-03
    1  -74.50    0.00    379.10  0.000000E+00  0.000000E+00
    2  -74.50    0.00    379.10  0.000000E+00  0.000000E+00
    3  -74.50    0.00    379.10  0.000000E+00  0.000000E+00
    4  -74.50    0.00    379.10  0.000000E+00  0.000000E+00
    5  -74.50    0.00    379.10  0.000000E+00  0.000000E+00
    6  -74.50    0.00    379.10  0.000000E+00  0.000000E+00
    7  -74.50    0.00    379.10  0.600955E-04  0.401754E-03
    0  -74.50    0.00    379.10  0.600955E-04  0.401754E-03
   -1  -74.50    0.00    379.10  0.600955E-04  0.401754E-03
    1  -74.00    0.00    379.10  0.000000E+00  0.000000E+00
    2  -74.00    0.00    379.10  0.000000E+00  0.000000E+00
    3  -74.00    0.00    379.10  0.000000E+00  0.000000E+00
    4  -74.00    0.00    379.10  0.000000E+00  0.000000E+00
    5  -74.00    0.00    379.10  0.000000E+00  0.000000E+00
    6  -74.00    0.00    379.10  0.000000E+00  0.000000E+00
    7  -74.00    0.00    379.10  0.755443E-04  0.481726E-03
    0  -74.00    0.00    379.10  0.755443E-04  0.481726E-03
   -1  -74.00    0.00    379.10  0.755443E-04  0.481726E-03
    1  -73.50    0.00    379.10  0.000000E+00  0.000000E+00
    2  -73.50    0.00    379.10  0.000000E+00  0.000000E+00
    3  -73.50    0.00    379.10  0.000000E+00  0.000000E+00
    4  -73.50    0.00    379.10  0.000000E+00  0.000000E+00
    5  -73.50    0.00    379.10  0.000000E+00  0.000000E+00
    6  -73.50    0.00    379.10  0.000000E+00  0.000000E+00
    7  -73.50    0.00    379.10  0.936394E-04  0.500728E-03
    0  -73.50    0.00    379.10  0.936394E-04  0.500728E-03
   -1  -73.50    0.00    379.10  0.936394E-04  0.500728E-03
    1  -73.00    0.00    379.10  0.000000E+00  0.000000E+00
    2  -73.00    0.00    379.10  0.000000E+00  0.000000E+00
    3  -73.00    0.00    379.10  0.000000E+00  0.000000E+00
    4  -73.00    0.00    379.10  0.000000E+00  0.000000E+00
    5  -73.00    0.00    379.10  0.000000E+00  0.000000E+00
    6  -73.00    0.00    379.10  0.000000E+00  0.000000E+00
    7  -73.00    0.00    379.10  0.114592E-03  0.281670E-03
    0  -73.00    0.00    379.10  0.114592E-03  0.281670E-03
   -1  -73.00    0.00    379.10  0.114592E-03  0.281670E-03
    1  -72.50    0.00    379.10  0.000000E+00  0.000000E+00
    2  -72.50    0.00    379.10  0.000000E+00  0.000000E+00
    3  -72.50    0.00    379.10  0.000000E+00  0.000000E+00
    4  -72.50    0.00    379.10  0.000000E+00  0.000000E+00
    5  -72.50    0.00    379.10  0.000000E+00  0.000000E+00
    6  -72.50    0.00    379.10  0.000000E+00  0.000000E+00
    7  -72.50    0.00    379.10  0.138598E-03  0.371709E-03
    0  -72.50    0.00    379.10  0.138598E-03  0.371709E-03
   -1  -72.50    0.00    379.10  0.138598E-03  0.371709E-03
    1  -72.00    0.00    379.10  0.000000E+00  0.000000E+00
    2  -72.00    0.00    379.10  0.000000E+00  0.000000E+00
    3  -72.00    0.00    379.10  0.000000E+00  0.000000E+00
    4  -72.00    0.00    379.10  0.000000E+00  0.000000E+00
    5  -72.00    0.00    379.10  0.000000E+00  0.000000E+00
