 energy -- xe (complex wv) -- vcon (real part ip)
   27.863299999999999                   (5.2894709638045576,-0.0000000000000000) -0.11520307693151624     

  -- absorber excited regular wf for all l -- 

  l=            0
   7.2889464807377011E-004             (-9.4040122746424011,-0.0000000000000000)
   1.4577892961475402E-003             (-9.2123855009339142,-0.0000000000000000)
   2.1866839442213105E-003             (-9.0235684675538170,-0.0000000000000000)
   2.9155785922950804E-003             (-8.8375299778359118,-0.0000000000000000)
   3.6444732403688503E-003             (-8.6542385285398069,-0.0000000000000000)
   4.3733678884426202E-003             (-8.4736621772816427,-0.0000000000000000)
   5.1022625365163901E-003             (-8.2957691356364318,-0.0000000000000000)
   5.8311571845901600E-003             (-8.1205276898808645,-0.0000000000000000)
   6.5600518326639299E-003             (-7.9479060315961787,-0.0000000000000000)
   7.2889464807376998E-003             (-7.7778725198873895,-0.0000000000000000)
   8.0178411288114697E-003             (-7.6103956805717772,-0.0000000000000000)
   8.7467357768852404E-003             (-7.4454443921526794,-0.0000000000000000)
   9.4756304249590112E-003             (-7.2829872016732935,-0.0000000000000000)
   1.0204525073032782E-002             (-7.1229930968374537,-0.0000000000000000)
   1.0933419721106553E-002             (-6.9654313706491431,-0.0000000000000000)
   1.1662314369180323E-002             (-6.8102714097497570,-0.0000000000000000)
   1.2391209017254094E-002             (-6.6574828839083606,-0.0000000000000000)
   1.3120103665327865E-002             (-6.5070356674123140,-0.0000000000000000)
   1.3848998313401636E-002             (-6.3588999899658738,-0.0000000000000000)
   1.4577892961475407E-002             (-6.2130462983536203,-0.0000000000000000)
   1.5306787609549177E-002             (-6.0694453104369002,-0.0000000000000000)
   1.6035682257622946E-002             (-5.9280679840193455,-0.0000000000000000)
   1.6764576905696715E-002             (-5.7888855710502760,-0.0000000000000000)
   1.7493471553770484E-002             (-5.6518696135365083,-0.0000000000000000)
   1.8222366201844253E-002             (-5.5169918345149069,-0.0000000000000000)
   1.8951260849918022E-002             (-5.3842234767568806,-0.0000000000000000)
   1.9680155497991791E-002             (-5.2535379153171249,-0.0000000000000000)
   2.0409050146065560E-002             (-5.1249079511702105,-0.0000000000000000)
   2.1137944794139329E-002             (-4.9983065776165976,-0.0000000000000000)
   2.1866839442213098E-002             (-4.8737070878529583,-0.0000000000000000)
   2.2595734090286868E-002             (-4.7510831588807978,-0.0000000000000000)
   2.3324628738360637E-002             (-4.6304094677359933,-0.0000000000000000)
   2.4053523386434406E-002             (-4.5116593561578657,-0.0000000000000000)
